HEADER	MICROS	MILLIS	LEFTDIR	LEFTDC	RIGHTDIR	RIGHTDC	LEFTPOS	RIGHTPOS	AMB_COL_NE	AMB_COL_SE	AMB_COL_SW	AMB_COL_NW	AMB_LINE_N	AMB_LINE_E	AMB_LINE_S	AMB_LINE_W	IR_COL_NE	IR_COL_SE	IR_COL_SW	IR_COL_NW	IR_LINE_N	IR_LINE_E	IR_LINE_S	IR_LINE_W	TRAILER	S_inRaw_N	S_inRaw_E	S_inRaw_S	S_inRaw_W	S_inAfterGO_N	S_inAfterGO_E	S_inAfterGO_S	S_inAfterGO_W	S_inFiltered_N	S_inFiltered_E	S_inFiltered_S	S_inFiltered_W	A_inL	A_inR	A_outPwmL	A_outPwmR	C_PID_in	C_PID_p	C_PID_i	C_PID_d	C_PID_out	PID_P	PID_I	PID_D	C_outError	C_outRaw	C_outNormalized	
1526703360	226931172	226930	0	19	0	31	756	740	0	0	0	0	0	0	0	0	0	0	0	0	616	418	800	695	1509991935	615	413	795	698	0.230808	0.08415	0.280528	0.008456	-nan	0.0872684817631	0.282108801746	0.053870954773	-0.0806991134324	0.0806991134324	18.9475664926	31.0524335074	0.0333975269901	0.0834938174753	0	-0.0027947040429	0.0806991134324	2.5	0	0.2	0.0333975269901	0.0806991134324	0.0806991134324	
1526703360	226941564	226940	0	18	0	32	757	742	0	0	0	20	0	0	0	0	0	0	0	0	616	422	801	698	1509991935	616	418	800	695	0.231786	0.0891	0.284468	0.006644	-nan	0.0870996954717	0.28200172736	0.053477062565	-0.0885587005982	0.0885587005982	18.3580974551	31.6419025449	0.0336226329067	0.0840565822667	0	0.00450211833146	0.0885587005982	2.5	0	0.2	0.0336226329067	0.0885587005982	0.0885587005982	
1526703360	226951964	226951	0	18	0	32	758	742	0	0	0	0	0	0	0	0	0	0	0	0	613	431	805	705	1509991935	616	422	801	698	0.231786	0.09306	0.285256	0.008456	-nan	0.0869667596913	0.2819226304	0.0527502284607	-0.0974192945536	0.0974192945536	17.6935529085	32.3064470915	0.0342165312305	0.0855413280764	0	0.0118779664772	0.0974192945536	2.5	0	0.2	0.0342165312305	0.0974192945536	0.0974192945536	
1526703360	226962348	226961	0	17	0	33	759	743	0	0	0	0	0	0	0	0	0	0	0	0	610	437	811	716	1509991935	613	431	805	705	0.228852	0.10197	0.288408	0.012684	-nan	0.0869116217343	0.281886712213	0.0517506141819	-0.106792045317	0.106792045317	16.9905966013	33.0094033987	0.0351610075523	0.0879025188808	0	0.0188895264357	0.106792045317	2.5	0	0.2	0.0351610075523	0.106792045317	0.106792045317	
1526703360	226972756	226972	0	16	0	34	760	744	0	0	0	0	0	0	0	0	0	0	0	0	606	438	816	727	1509991935	610	437	811	716	0.225918	0.10791	0.293136	0.019328	-nan	0.0869827052991	0.281913475734	0.0505557634418	-0.116386040742	0.116386040742	16.2710469443	33.7289530557	0.0364269418573	0.0910673546432	0	0.0253186860991	0.116386040742	2.5	0	0.2	0.0364269418573	0.116386040742	0.116386040742	
1526703360	226981060	226980	0	16	0	34	761	744	0	0	0	0	0	0	0	0	0	0	0	0	605	435	822	737	1509991935	606	438	816	727	0.222006	0.1089	0.297076	0.025972	-nan	0.0872089826608	0.282029305537	0.0492502475881	-0.125532701989	0.125532701989	15.5850473508	34.4149526492	0.0379587350727	0.0948968376817	0	0.0306358643078	0.125532701989	2.5	0	0.2	0.0379587350727	0.125532701989	0.125532701989	
1526703360	226991444	226991	0	15	0	35	762	745	0	0	0	0	0	0	0	0	0	0	0	0	604	426	819	749	1509991935	605	435	822	737	0.221028	0.10593	0.301804	0.032012	-nan	0.0875795034287	0.282258192225	0.047912775091	-0.133326686145	0.133326686145	15.0004985391	34.9995014609	0.0396667283377	0.0991668208443	0	0.0341598653007	0.133326686145	2.5	0	0.2	0.0396667283377	0.133326686145	0.133326686145	
1526703360	227001828	227001	0	15	0	35	762	746	0	0	0	0	0	0	0	0	0	0	0	0	605	418	812	759	1509991935	604	426	819	749	0.22005	0.09702	0.29944	0.03926	-nan	0.0880443479165	0.282607075797	0.0466124983305	-0.138882048932	0.138882048932	14.5838463301	35.4161536699	0.041431849586	0.103579623965	0	0.0353024249664	0.138882048932	2.5	0	0.2	0.041431849586	0.138882048932	0.138882048932	
1526703360	227012228	227011	0	14	0	36	764	746	0	0	0	0	0	0	0	0	0	0	0	0	605	410	800	763	1509991935	605	418	812	759	0.221028	0.0891	0.293924	0.0453	-nan	0.0885281448261	0.283046602779	0.045410887254	-0.14150130365	0.14150130365	14.3874022263	35.6125977737	0.043117257572	0.10779314393	0	0.0337081597198	0.14150130365	2.5	0	0.2	0.043117257572	0.14150130365	0.14150130365	
1526703360	227022628	227021	0	14	0	36	764	748	0	0	0	0	0	0	0	0	0	0	0	11	608	409	787	764	1509991935	605	410	800	763	0.221028	0.08118	0.284468	0.047716	-nan	0.0889565314843	0.283514259595	0.0443508667374	-0.141282305363	0.141282305363	14.4038270977	35.5961729023	0.0446056647468	0.111514161867	0	0.0297681434963	0.141282305363	2.5	0	0.2	0.0446056647468	0.141282305363	0.141282305363	
1526703360	227030948	227030	0	15	0	35	765	748	0	0	21	0	0	0	0	0	0	0	0	0	611	411	779	766	1509991935	608	409	787	764	0.223962	0.08019	0.274224	0.04832	-nan	0.0892813643015	0.283930507401	0.0434474637895	-0.139149466584	0.139149466584	14.5637900062	35.4362099938	0.045833900512	0.11458475128	0	0.0245647153036	0.139149466584	2.5	0	0.2	0.045833900512	0.139149466584	0.139149466584	
1526703360	227041372	227041	0	15	0	35	766	749	0	0	0	0	0	0	0	0	0	0	0	0	611	414	771	764	1509991935	611	411	779	766	0.226896	0.08217	0.26792	0.049528	-nan	0.0894963848994	0.28422288178	0.042698703815	-0.136269814159	0.136269814159	14.7797639381	35.2202360619	0.0467976810844	0.116994202711	0	0.0192756114476	0.136269814159	2.5	0	0.2	0.0467976810844	0.136269814159	0.136269814159	
1526703360	227051748	227051	0	15	0	35	766	750	0	0	0	0	0	0	0	0	0	0	0	0	610	412	768	764	1509991935	611	414	771	764	0.226896	0.08514	0.261616	0.04832	-nan	0.0896258663396	0.284343747	0.0420952885269	-0.133484379098	0.133484379098	14.9886715676	35.0113284324	0.0475305778127	0.118826444532	0	0.0146579345666	0.133484379098	2.5	0	0.2	0.0475305778127	0.133484379098	0.133484379098	
1526703360	227062132	227061	0	15	0	35	768	751	0	21	0	0	0	0	0	0	0	0	0	0	611	409	770	762	1509991935	610	412	768	764	0.225918	0.08316	0.259252	0.04832	-nan	0.0896917642349	0.284269233875	0.0416215875328	-0.130967419543	0.130967419543	15.1774435342	34.8225564658	0.0480701767021	0.120175441755	0	0.010791977788	0.130967419543	2.5	0	0.2	0.0480701767021	0.130967419543	0.130967419543	
1526703360	227072532	227072	0	15	0	35	768	752	0	0	0	0	0	0	0	0	0	0	0	0	638	407	778	761	1509991935	611	409	770	762	0.226896	0.08019	0.260828	0.047112	-nan	0.0896932259274	0.284004669701	0.0412603282486	-0.12833666373	0.12833666373	15.3747502203	34.6252497797	0.0484328976788	0.121082244197	0	0.00725441953262	0.12833666373	2.5	0	0.2	0.0484328976788	0.12833666373	0.12833666373	
1526703360	227080860	227080	0	16	0	34	769	753	0	0	0	0	0	0	0	0	0	0	0	0	612	408	784	762	1509991935	638	407	778	761	0.253302	0.07821	0.267132	0.046508	-nan	0.0896176826066	0.28359072758	0.0409942014596	-0.125370372233	0.125370372233	15.5972220825	34.4027779175	0.048623481147	0.121558702868	0	0.0038116693654	0.125370372233	2.5	0	0.2	0.048623481147	0.125370372233	0.125370372233	
1526703360	227091252	227090	0	16	0	34	770	754	0	0	0	0	0	0	0	0	0	0	0	0	611	414	788	751	1509991935	612	408	784	762	0.227874	0.0792	0.27186	0.047112	-nan	0.0894630136825	0.28308884006	0.0408097797695	-0.122228140101	0.122228140101	15.8328894924	34.1671105076	0.048653233913	0.121633084782	0	0.000595055318428	0.122228140101	2.5	0	0.2	0.048653233913	0.122228140101	0.122228140101	
